Order Num,Load Time (minutes),User Id,Shift,Order Type,Date,Week,Month
0405882682,74.5,177025,Green,Customer Load,11/01/2024,44,11
0405882694,3.87,175319,Blue,Customer Load,10/31/2024,44,10
0405882880,5.88,177067,Blue,Customer Load,10/31/2024,44,10
0405882891,63.5,167827,Orange,Customer Load,10/31/2024,44,10
0405882896,111.6,177025,Green,Customer Load,11/01/2024,44,11
0405882898,35.95,177067,Green,Customer Load,11/01/2024,44,11
0405882905,55.65,176842,Green,Customer Load,11/01/2024,44,11
0405883000,207.55,176842,Blue,Customer Load,10/31/2024,44,10
0405883005,80.88,169596,Orange,Customer Load,10/31/2024,44,10
0405883008,129.35,176842,Green,Customer Load,11/01/2024,44,11
0405883011,145.17,173014,Orange,Customer Load,10/31/2024,44,10
0405883012,70.02,177067,Blue,Customer Load,10/31/2024,44,10
0405883014,92.78,176056,Blue,Customer Load,10/31/2024,44,10
0405883017,59.98,173011,Blue,Customer Load,10/31/2024,44,10
0405883045,71.1,176842,Green,Customer Load,11/01/2024,44,11
0405883080,136.78,179279,Orange,Customer Load,10/31/2024,44,10
0405883125,28.93,179279,Orange,Customer Load,10/31/2024,44,10
0405883126,212.82,176056,Blue,Customer Load,10/31/2024,44,10
0405883137,162.2,173014,Orange,Customer Load,10/31/2024,44,10
0405883185,19.38,178260,Orange,Customer Load,10/31/2024,44,10
0405883324,121.75,177050,Blue,Customer Load,10/31/2024,44,10
0405883334,75.93,177067,Blue,Customer Load,10/31/2024,44,10
0405883387,65.88,178260,Orange,Customer Load,10/31/2024,44,10
0405883413,166.45,176056,Green,Customer Load,11/01/2024,44,11
0405883416,185.02,177050,Blue,Customer Load,10/31/2024,44,10
0405883466,0.57,169388,Orange,Customer Load,10/31/2024,44,10
0405883474,19.38,171896,Green,Customer Load,11/01/2024,44,11
0405883475,60.87,177050,Green,Customer Load,11/01/2024,44,11
0405883476,67.92,176842,Green,Customer Load,11/01/2024,44,11
0405883478,85.37,177025,Green,Customer Load,11/01/2024,44,11
0405883480,127.83,176842,Blue,Customer Load,10/31/2024,44,10
0405883502,289.4,176338,Blue,Customer Load,10/31/2024,44,10
0405883529,0.0,179710,Orange,Customer Load,10/31/2024,44,10
0405883636,8.82,176848,Orange,Customer Load,10/31/2024,44,10
0405883702,49.97,175177,Orange,Customer Load,10/31/2024,44,10
0405883703,167.75,176835,Orange,Customer Load,10/31/2024,44,10
0405883709,6.27,169596,Orange,Customer Load,10/31/2024,44,10
0405883711,0.35,175177,Orange,Customer Load,10/31/2024,44,10
0405883712,0.18,175177,Orange,Customer Load,10/31/2024,44,10
0405883713,0.2,177067,Blue,Customer Load,10/31/2024,44,10
0405883714,3.82,177067,Blue,Customer Load,10/31/2024,44,10
0405883715,48.48,173760,Orange,Customer Load,10/31/2024,44,10
0405883737,117.8,173748,Orange,Customer Load,10/31/2024,44,10
0405883739,197.05,176842,Blue,Customer Load,10/31/2024,44,10
0405883740,47.72,176056,Green,Customer Load,11/01/2024,44,11
0405883750,464.83,173748,Orange,Customer Load,10/31/2024,44,10
0405883753,223.65,176835,Orange,Customer Load,10/31/2024,44,10
0405883754,40.58,179710,Orange,Customer Load,10/31/2024,44,10
0405883761,310.63,173748,Orange,Customer Load,10/31/2024,44,10
0405883789,308.45,176835,Orange,Customer Load,10/31/2024,44,10
0405883813,27.93,173760,Orange,Customer Load,10/31/2024,44,10
0405883815,45.43,175527,Orange,Customer Load,10/31/2024,44,10
0405883816,50.18,173760,Orange,Customer Load,10/31/2024,44,10
0405883817,130.08,173748,Orange,Customer Load,10/31/2024,44,10
0405883821,151.53,173748,Orange,Customer Load,10/31/2024,44,10
0405883822,44.08,173760,Orange,Customer Load,10/31/2024,44,10
0405883824,130.73,176056,Green,Customer Load,11/01/2024,44,11
0405883831,56.37,173748,Orange,Customer Load,10/31/2024,44,10
0405883833,210.43,176842,Blue,Customer Load,10/31/2024,44,10
0405883841,5.95,171896,Green,Customer Load,11/01/2024,44,11
0405883874,260.95,179911,Orange,Customer Load,10/31/2024,44,10
0405883882,240.83,176835,Orange,Customer Load,10/31/2024,44,10
0405883889,110.42,171263,Blue,Customer Load,10/31/2024,44,10
0405883893,240.13,176835,Orange,Customer Load,10/31/2024,44,10
0405883901,19.92,176842,Blue,Customer Load,10/31/2024,44,10
0405883925,121.72,176842,Orange,Customer Load,10/31/2024,44,10
0405883935,116.23,176842,Orange,Customer Load,10/31/2024,44,10
0405883955,90.62,180183,Orange,Customer Load,10/31/2024,44,10
0405883978,22.52,176842,Green,Customer Load,11/01/2024,44,11
0405883993,1.17,176848,Orange,Customer Load,10/31/2024,44,10
0405883994,7.13,176842,Green,Customer Load,11/01/2024,44,11
0405884005,179.2,173748,Orange,Customer Load,10/31/2024,44,10
0405884006,52.57,173760,Orange,Customer Load,10/31/2024,44,10
0405884007,1.48,176848,Orange,Customer Load,10/31/2024,44,10
0405884023,133.37,176056,Blue,Customer Load,10/31/2024,44,10
0405884027,0.45,169394,Orange,Customer Load,10/31/2024,44,10
0405884064,193.53,173748,Orange,Customer Load,10/31/2024,44,10
0405884071,188.68,176056,Green,Customer Load,11/01/2024,44,11
0405884081,118.57,175177,Orange,Customer Load,10/31/2024,44,10
0405884091,191.2,175177,Orange,Customer Load,10/31/2024,44,10
0405884144,77.6,175319,Green,Customer Load,11/01/2024,44,11
0405884149,16.7,176965,Blue,Customer Load,10/31/2024,44,10
0405884197,197.05,177050,Blue,Customer Load,10/31/2024,44,10
0405884257,189.8,180175,Orange,Customer Load,10/31/2024,44,10
0405884258,154.23,175319,Blue,Customer Load,10/31/2024,44,10
0405884259,70.6,173760,Orange,Customer Load,10/31/2024,44,10
0405884261,192.25,173748,Orange,Customer Load,10/31/2024,44,10
0405884263,50.73,173748,Orange,Customer Load,10/31/2024,44,10
0405884266,47.72,177050,Green,Customer Load,11/01/2024,44,11
0405884267,228.37,173760,Orange,Customer Load,10/31/2024,44,10
0405884268,209.57,176745,Blue,Customer Load,10/31/2024,44,10
0405884311,89.18,173014,Orange,Customer Load,10/31/2024,44,10
0405884313,137.52,175087,Orange,Customer Load,10/31/2024,44,10
0405884315,65.6,176835,Orange,Customer Load,10/31/2024,44,10
0405884320,139.63,177025,Green,Customer Load,11/01/2024,44,11
0405884348,94.77,171009,Blue,Customer Load,10/31/2024,44,10
0405884368,16.63,176965,Blue,Customer Load,10/31/2024,44,10
0405884374,117.33,173752,Orange,Customer Load,10/31/2024,44,10
0405884377,153.3,175177,Orange,Customer Load,10/31/2024,44,10
0405884391,71.52,169596,Orange,Customer Load,10/31/2024,44,10
0405884402,107.4,173748,Orange,Customer Load,10/31/2024,44,10
0405884417,63.8,175809,Orange,Customer Load,10/31/2024,44,10
